Date,Open,High,Low,Close,Volume
2008-01-02,3462.68,3474.89,3439.55,3461.22,
2008-01-03,3413.5,3425.06,3387.91,3397.06,
2008-01-04,3374.09,3437.79,3357.72,3437.79,
2008-01-07,3374.95,3385.53,3348.28,3353.06,
2008-01-08,3359.58,3372.41,3335.97,3338.27,
2008-01-09,3298.57,3359.42,3292.85,3344.53,
2008-01-10,3350.04,3371.33,3306.43,3311.07,238221504
2008-01-11,3341.13,3354.74,3275.59,3287.34,258867504
2008-01-14,3271.85,3299.69,3211.4,3218.14,294500992
2008-01-15,3236.68,3266.2,3152.66,3154.58,290942016
2008-01-16,3062.23,3110.88,3053.73,3058.49,364936992
2008-01-17,3097.86,3146.72,3008.12,3139.87,328159488
2008-01-18,3073.76,3137.33,3035.1,3104.25,259736992
2008-01-21,3072.28,3072.28,2917.13,2917.13,310073984
2008-01-22,2802.13,2866.55,2746.73,2866.55,427081504
2008-01-23,2972.12,3009.64,2851.01,2983.62,385217504
2008-01-24,3055.76,3131.71,3043.03,3050.09,469975488
2008-01-25,3121.26,3168.23,3112.75,3159.48,291771008
2008-01-28,3113.56,3113.56,3026.14,3041.06,183995008
2008-01-29,3092.6,3099.43,3036.86,3049.89,150154000
2008-01-30,3051.82,3051.82,2984.76,3000.03,201634000
2008-01-31,2989.32,3036.77,2976.64,2981.75,290119488
2008-02-01,3015.89,3017.54,2963.18,3007.8,258797504
2008-02-04,3053.38,3102.16,3053.38,3077.08,275095488
2008-02-05,3069.29,3070.43,3037.17,3038.41,177862000
2008-02-06,2954.47,2954.47,2917.65,2931.97,194782000
2008-02-11,2902.1,2914.06,2859.08,2868.29,215161504
2008-02-12,2888.54,2926.23,2887.06,2926.23,195795008
2008-02-13,2976.09,2991.91,2945.03,2949.54,212572000
2008-02-14,3026.73,3049.01,3019.79,3045.59,291660512
2008-02-15,3007.86,3094.6,3002.53,3088.67,220196992
2008-02-18,3099.62,3121.25,3062.75,3083.34,152457504
2008-02-19,3100.26,3126.43,3098.06,3098.06,173942000
2008-02-20,3094.25,3094.51,3019.43,3026.83,204978496
2008-02-21,3066.51,3073.37,3045.87,3054.81,199363504
2008-02-22,3025.84,3048.63,3013.82,3048.63,164319504
2008-02-25,3076.73,3084.58,3062.05,3064.95,143806000
2008-02-26,3099.24,3102.97,3061.07,3077.83,236962000
2008-02-27,3110.48,3129.27,3094.45,3094.45,253336000
2008-02-28,3086.96,3096,3056.99,3074.14,239080496
2008-02-29,3070.96,3070.96,3003.07,3026.45,299911488
