Date,Open,High,Low,Close,Volume
2008-01-02,6456.89,6512.29,6402.6,6416.7,571973504
2008-01-03,6416.7,6487.79,6394.6,6479.39,769971840
2008-01-04,6479.39,6534.7,6333.2,6348.5,1000965376
2008-01-07,6348.5,6376.5,6275.2,6335.7,1086893312
2008-01-08,6335.7,6399.6,6335.7,6356.5,1153149696
2008-01-09,6356.5,6356.5,6241.79,6272.7,1533685376
2008-01-10,6272.7,6314.5,6213,6222.7,1319885440
2008-01-11,6222.7,6251.79,6147,6202,1307395456
2008-01-14,6202,6247.29,6173,6215.7,963026176
2008-01-15,6215.7,6215.7,6025.6,6025.6,1367585664
2008-01-16,6025.6,6031.5,5908.5,5942.89,1594671744
2008-01-17,5942.89,6028.39,5895.39,5902.39,1454427136
2008-01-18,5902.4,6030.9,5856.8,5901.7,1676215680
2008-01-21,5901.7,5901.7,5571,5578.2,1764673664
2008-01-22,5578.2,5764,5338.7,5740.1,2290001920
2008-01-23,5740.1,5844.89,5518.29,5609.29,2080167296
2008-01-24,5609.29,5882.29,5609.29,5875.79,1888718336
2008-01-25,5875.79,5973.29,5848.5,5869,1394807040
2008-01-28,5869,5869,5705.1,5788.89,1034092736
2008-01-29,5788.89,5885.2,5788.89,5885.2,951885248
2008-01-30,5885.2,5885.2,5818.6,5837.29,975453952
2008-01-31,5837.29,5899.5,5689.39,5879.79,1645682816
2008-02-01,5879.79,6044.89,5879.79,6029.2,1545092736
2008-02-04,6029.2,6071.29,6000.2,6026.2,945734272
2008-02-05,6026.2,6026.2,5852.79,5868,1218978048
2008-02-06,5868,5892.6,5816.39,5875.39,1135946880
2008-02-07,5875.39,5875.39,5708.79,5724.1,1319412480
2008-02-08,5724.1,5805.29,5703.1,5784,1024005824
2008-02-11,5784,5789.6,5683.39,5707.7,932595840
2008-02-12,5707.7,5910,5707.7,5910,1107708160
2008-02-13,5910,5915,5814.79,5880.1,1084399104
2008-02-14,5880.1,5938.5,5859.39,5879.29,1118614400
2008-02-15,5879.29,5915,5763.5,5787.6,1104310272
2008-02-18,5787.6,5951.89,5787.6,5946.6,811399168
2008-02-19,5946.6,6033.7,5884.79,5966.89,1150366848
2008-02-20,5966.89,5966.89,5847.39,5893.6,1292909184
2008-02-21,5893.6,6004.39,5893.6,5932.2,1112195584
2008-02-22,5932.2,5970.89,5863.79,5888.5,1020827584
2008-02-25,5888.5,6011.7,5888.5,5999.5,1073460672
2008-02-26,5999.5,6092.5,5991.6,6087.39,1113653504
2008-02-27,6087.39,6104.5,5989,6076.5,1363825280
2008-02-28,6076.5,6090.79,5960.29,5965.7,1347488384
2008-02-29,5965.7,5986.2,5859.29,5884.29,1349456256
2008-03-03,5884.29,5884.29,5770.1,5818.6,1352650624
2008-03-04,5818.6,5872.89,5719.79,5767.7,1366551040
2008-03-05,5767.7,5860.5,5763.89,5853.5,1237514880
